Symbol	X	Y
*	136	41
+	49	42
$	88	42
@	104	42
$	118	42
$	128	42
&	133	42
$	14	43
@	27	43
%	37	43
/	42	43
$	44	43
-	53	43
%	63	43
*	81	43
/	91	43
%	114	43
=	122	43
$	8	44
*	18	44
*	35	44
+	60	44
*	66	44
=	72	44
*	87	44
/	132	44
-	48	45
%	77	45
*	14	46
*	97	46
&	113	46
@	8	47
*	31	47
+	45	47
*	86	47
+	91	47
*	128	47
-	18	48
*	27	48
*	34	48
+	64	48
*	74	48
=	79	48
*	100	48
*	105	48
*	117	48
=	133	48
*	11	49
@	29	49
*	39	49
$	54	49
*	58	49
*	113	49
@	125	49
*	69	50
*	91	50
*	48	51
@	64	51
*	96	51
-	100	51
*	133	51
#	16	52
&	26	52
*	82	52
+	88	52
/	90	52
@	106	52
*	112	52
*	118	52
*	126	52
*	136	52
&	30	53
&	37	53
$	110	53
*	12	54
*	25	54
*	43	54
*	65	54
*	51	55
#	109	55
*	132	55
*	16	56
@	59	56
-	73	56
/	27	57
#	45	57
%	71	57
*	90	57
*	115	57
*	129	57
&	137	57
*	67	58
#	76	58
$	88	58
*	95	58
*	106	58
@	109	58
*	122	58
#	133	58
$	5	59
*	31	59
*	55	59
%	83	59
#	99	59
#	17	60
*	45	60
=	86	60
=	122	60
-	127	60
*	9	61
/	25	61
+	73	61
@	114	61
*	17	62
*	42	62
*	84	62
=	93	62
%	104	62
*	108	62
*	134	62
*	116	63
*	126	63
&	36	64
*	48	64
@	54	64
*	73	64
=	137	64
&	11	65
&	18	65
$	84	65
%	15	66
*	24	66
/	91	66
*	98	66
-	133	66
*	50	67
-	70	67
@	88	67
%	104	67
*	137	67
#	30	68
*	38	68
*	79	68
*	117	68
%	123	68
*	22	69
*	45	69
&	95	69
*	100	69
*	5	70
*	8	70
*	16	70
*	54	70
*	64	70
*	69	70
=	90	70
*	104	70
+	50	71
*	82	71
#	94	71
#	129	71
*	30	72
*	43	72
*	109	72
*	126	72
#	131	72
=	11	73
+	19	73
$	27	73
+	38	73
*	57	73
*	65	73
*	72	73
#	117	73
*	33	74
&	103	74
#	136	74
*	6	75
/	28	75
*	46	75
/	53	75
$	64	75
=	77	75
*	85	75
#	98	75
%	121	75
*	89	76
&	95	76
*	105	76
*	112	76
@	128	76
/	9	77
*	19	77
*	49	77
*	134	77
@	4	78
$	31	78
#	40	78
$	67	78
$	85	78
#	107	78
&	11	79
+	73	79
$	87	79
$	121	79
*	51	80
*	65	80
*	77	80
$	85	80
*	30	81
#	36	81
*	48	81
*	44	82
-	68	82
*	112	82
*	125	82
*	5	83
/	10	83
*	66	83
$	106	83
+	135	83
#	19	84
%	30	84
-	57	84
*	89	84
*	97	84
*	15	85
*	75	85
$	110	85
*	106	86
-	114	86
*	130	86
#	16	87
*	24	87
%	32	87
*	48	87
=	82	87
*	120	87
*	123	87
*	4	88
*	10	88
&	20	88
=	34	88
*	42	88
*	68	88
#	71	88
/	78	88
*	88	88
%	116	88
*	132	88
*	58	89
*	26	90
*	79	90
-	100	90
&	134	90
*	16	91
$	59	91
*	70	91
=	88	91
&	105	91
*	111	91
#	136	91
#	4	92
*	28	92
$	123	92
*	23	93
=	37	93
*	57	93
%	88	93
*	118	93
*	12	94
*	47	94
%	79	94
&	85	94
*	114	94
*	130	94
*	68	95
*	17	96
*	35	96
*	58	96
*	104	96
#	123	96
-	133	96
%	136	96
-	5	97
*	24	97
*	41	97
*	95	97
#	11	98
&	27	98
*	45	98
-	68	98
*	88	98
#	9	99
*	34	99
*	38	99
+	72	99
&	99	99
$	112	99
*	118	99
-	53	100
/	76	100
&	81	100
*	129	100
=	13	101
*	59	101
%	123	101
*	44	102
#	70	102
*	82	102
*	97	102
%	107	102
=	113	102
*	120	102
@	5	103
*	16	103
/	52	103
$	56	103
*	38	104
+	61	104
@	67	104
-	73	104
=	15	105
*	22	105
+	43	105
-	45	105
%	56	105
*	100	105
&	108	105
*	133	105
*	8	106
%	20	106
*	119	106
/	130	106
=	136	106
&	26	107
=	54	107
*	76	107
=	87	107
+	91	107
*	99	107
*	13	108
*	42	108
+	67	108
%	111	108
*	128	108
*	19	109
*	48	109
+	108	109
/	116	109
@	4	110
*	21	110
-	61	110
&	63	110
*	74	110
*	97	110
#	131	110
*	136	110
%	80	111
*	105	111
-	115	111
*	123	111
*	5	112
*	36	112
%	40	112
*	54	112
*	89	112
&	103	112
@	18	113
$	66	113
*	76	113
*	94	113
*	98	113
=	6	114
*	30	114
-	49	114
*	122	114
%	131	114
*	33	115
@	80	115
/	12	116
*	14	116
/	61	116
*	66	116
@	84	116
%	109	116
-	130	116
*	8	118
#	24	118
$	34	118
*	39	118
*	50	118
/	57	118
*	70	118
&	100	118
/	102	118
#	112	118
-	136	118
@	44	119
+	55	119
+	93	119
*	119	119
*	128	119
+	7	120
*	32	120
*	72	120
*	96	120
*	13	121
#	26	121
*	52	121
@	63	121
-	89	121
*	105	121
$	123	121
*	129	121
+	28	122
+	38	122
*	57	122
/	79	122
/	119	122
*	24	123
$	30	123
*	74	123
*	84	123
*	95	123
/	99	123
*	12	124
#	54	124
$	65	124
*	90	124
%	109	124
+	127	124
*	36	125
*	59	125
$	133	125
*	17	126
*	45	126
%	51	126
*	73	126
*	104	126
*	120	126
@	122	126
=	129	126
=	136	126
*	5	127
*	99	127
*	117	127
%	126	127
&	24	128
-	60	128
*	66	128
$	12	129
*	16	129
=	38	129
$	88	129
+	92	129
*	111	129
*	116	129
*	131	129
*	9	130
*	31	130
*	43	131
*	72	131
*	122	131
*	133	131
*	5	132
=	21	132
*	26	132
*	47	132
%	66	132
-	83	132
&	93	132
#	100	132
%	107	132
*	113	132
/	12	133
*	32	133
$	52	133
*	58	133
+	77	133
/	97	133
$	121	133
=	14	134
*	22	134
*	41	134
*	88	134
@	32	135
&	70	135
+	72	135
@	103	135
@	10	136
&	36	136
@	41	136
*	63	136
*	100	136
*	114	136
#	5	137
$	17	137
#	51	137
*	56	137
$	68	137
-	85	137
@	105	137
/	130	137
*	7	138
$	30	138
-	45	138
*	82	138
*	111	138
$	126	138
*	16	139
*	27	139
%	35	139
-	66	139
*	92	139
*	116	139
*	134	139
